Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	0.429385	0.448921	0.473277	0.493521	0.50466	0.513891
0.025	0.446881	0.471143	0.495164	0.483451	0.494233	0.505543
0.05	0.452197	0.47739	0.501769	0.480615	0.491395	0.503038
0.075	0.50143	0.526581	0.548338	0.460868	0.470079	0.480669
0.1	0.554092	0.577698	0.605419	0.438792	0.449158	0.458723
0.125	0.645425	0.676685	0.702759	0.404076	0.412967	0.42385
0.15	0.716942	0.745426	0.774596	0.381184	0.390232	0.399388
0.175	0.859648	0.897946	0.936434	0.335864	0.346063	0.356222
0.2	1.02949	1.07409	1.12338	0.291932	0.30288	0.312929
0.225	1.25296	1.30158	1.34922	0.248579	0.25698	0.265847
0.25	1.49216	1.5422	1.61096	0.207591	0.217383	0.224944
0.275	1.8141	1.88094	1.94247	0.166727	0.173509	0.181401
0.3	2.05671	2.12641	2.20942	0.140573	0.148138	0.155042
0.325	2.44099	2.5141	2.59914	0.110394	0.116217	0.121588
0.35	2.83919	2.91316	3.00333	0.0864005	0.0911743	0.0953102
0.375	3.34727	3.41167	3.49428	0.0647685	0.067912	0.0705118
0.4	3.70277	3.82118	3.91386	0.0508283	0.0536049	0.0573677
0.425	4.23446	4.365	4.4592	0.0373969	0.0393939	0.0424057
0.45	4.83962	4.94891	5.02971	0.0272694	0.0285316	0.030268
0.475	5.23919	5.36431	5.4827	0.021328	0.0227287	0.0243708
0.5	5.9454	6.05071	6.18941	0.014632	0.0157283	0.0166346
0.525	6.42485	6.5779	6.71234	0.0111077	0.0119276	0.0129124
0.55	7.23428	7.37441	7.52367	0.00729825	0.00789198	0.00847066
0.575	7.87969	8.03307	8.18875	0.00519957	0.00563025	0.00608184
0.6	8.5409	8.68784	8.81894	0.00378522	0.00404054	0.00435052
0.625	9.37037	9.52281	9.66128	0.0024908	0.00266603	0.0028749
0.65	10.0085	10.167	10.3296	0.00179493	0.00194359	0.00209926
0.675	10.9769	11.1436	11.3276	0.00110898	0.00121011	0.00131121
0.7	11.5503	11.7644	11.9592	0.000819702	0.000902138	0.000998154
0.725	12.4843	12.6577	12.8424	0.000539356	0.000590108	0.000638967
0.75	13.3426	13.5255	13.7101	0.000360427	0.000392055	0.000427105
0.775	14.1896	14.3789	14.6153	0.000236898	0.000264206	0.000288413
0.8	15.1825	15.427	15.6422	0.000148328	0.000163751	0.000182777
0.825	16.0636	16.2856	16.4717	0.000102213	0.000111116	0.000122708
0.85	17.0416	17.2806	17.503	6.45085e-05	7.11447e-05	7.92847e-05
0.875	18.2906	18.5062	18.7283	3.77529e-05	4.14958e-05	4.55796e-05
0.9	19.137	19.3318	19.5545	2.62782e-05	2.89123e-05	3.14595e-05
0.925	20.2362	20.4749	20.6941	1.60958e-05	1.76572e-05	1.95611e-05
0.95	21.5154	21.8089	22.0693	8.99042e-06	1.00085e-05	1.13595e-05
0.975	22.8565	23.1253	23.3895	5.16088e-06	5.76239e-06	6.44474e-06
