Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	6.15693	6.25591	6.36031	0.0133711	0.0141097	0.0148791
0.025	6.468	6.56134	6.65897	0.0114138	0.0120136	0.0126159
0.05	6.74699	6.85201	6.94308	0.00984821	0.0103229	0.0109019
0.075	7.06997	7.15792	7.25758	0.00836622	0.00880432	0.0092213
0.1	7.40976	7.50144	7.60942	0.00698017	0.0073842	0.00773186
0.125	7.76707	7.86061	7.96165	0.00584101	0.00614557	0.00643957
0.15	8.2292	8.33156	8.44001	0.00457628	0.0048421	0.00509262
0.175	8.55461	8.64987	8.75562	0.00390634	0.00412058	0.00432099
0.2	8.95245	9.06215	9.1688	0.00318056	0.0033523	0.00354079
0.225	9.23178	9.34058	9.43921	0.00277956	0.00291804	0.00308285
0.25	9.61037	9.7112	9.80474	0.00232343	0.00242967	0.00255326
0.275	10.2401	10.351	10.463	0.00168298	0.00177679	0.00187438
0.3	10.5121	10.6211	10.7309	0.00147713	0.00156081	0.00164218
0.325	11.0044	11.1216	11.2205	0.00116752	0.00122315	0.00129391
0.35	11.3631	11.4868	11.6039	0.000970185	0.00102664	0.00108882
0.375	11.8541	11.9624	12.0902	0.000769481	0.000817587	0.000860871
0.4	12.25	12.3748	12.4855	0.000638431	0.00067263	0.000713644
0.425	12.7451	12.8698	13.0076	0.000499877	0.000532741	0.000564773
0.45	13.1736	13.29	13.4161	0.000413	0.000437818	0.000461803
0.475	13.5681	13.7009	13.8165	0.000342418	0.000361217	0.000384349
0.5	14.0635	14.2066	14.3396	0.000269007	0.000286302	0.0003054
0.525	14.5458	14.7078	14.8165	0.000216046	0.000227048	0.000244621
0.55	15.0783	15.2044	15.322	0.000171609	0.000180968	0.000191697
0.575	15.5642	15.6965	15.8435	0.000135913	0.000144774	0.000153721
0.6	16.0688	16.2241	16.3621	0.000107305	0.000114064	0.000122468
0.625	16.5937	16.7443	16.8773	8.51614e-05	9.03401e-05	9.66282e-05
0.65	17.1607	17.2814	17.4046	6.7337e-05	7.11263e-05	7.5036e-05
0.675	17.6091	17.7847	17.9222	5.35904e-05	5.69473e-05	6.15376e-05
0.7	18.1448	18.2946	18.4477	4.25142e-05	4.54866e-05	4.85593e-05
0.725	18.667	18.796	18.9366	3.43373e-05	3.6525e-05	3.86324e-05
0.75	19.226	19.39	19.5252	2.6583e-05	2.82016e-05	3.02679e-05
0.775	19.8754	20.015	20.1441	2.03743e-05	2.15273e-05	2.28504e-05
0.8	20.493	20.6231	20.7734	1.55802e-05	1.6568e-05	1.75404e-05
0.825	21.0444	21.1749	21.3152	1.23345e-05	1.31018e-05	1.38452e-05
0.85	21.5756	21.7346	21.8851	9.7193e-06	1.03323e-05	1.10531e-05
0.875	22.2037	22.367	22.5376	7.36573e-06	7.90791e-06	8.47171e-06
0.9	22.7645	22.9419	23.1078	5.81377e-06	6.21498e-06	6.69804e-06
0.925	23.295	23.4613	23.5995	4.72739e-06	5.00913e-06	5.36574e-06
0.95	24.1278	24.2974	24.4399	3.3395e-06	3.54546e-06	3.80338e-06
0.975	24.8233	24.9656	25.1205	2.5346e-06	2.69267e-06	2.8525e-06
