Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	0.434923	0.464401	0.48459	0.486351	0.495574	0.509583
0.025	0.454467	0.474442	0.494845	0.481774	0.490951	0.500221
0.05	0.474442	0.494845	0.526256	0.468185	0.481774	0.490951
0.075	0.48459	0.515679	0.536942	0.463703	0.472691	0.486351
0.1	0.558634	0.591978	0.614744	0.433007	0.441655	0.454811
0.125	0.614744	0.63794	0.67354	0.41182	0.424458	0.433007
0.15	0.685621	0.722509	0.760363	0.383215	0.395322	0.407658
0.175	0.866033	0.893524	0.935567	0.337096	0.344524	0.352056
0.2	0.978576	1.00779	1.05241	0.304954	0.315434	0.322551
0.225	1.17612	1.22428	1.27341	0.259128	0.268522	0.278148
0.25	1.40915	1.46182	1.51546	0.218307	0.22664	0.235198
0.275	1.73969	1.79816	1.8576	0.172902	0.179935	0.187178
0.3	1.97938	2.04172	2.10503	0.146816	0.153036	0.159456
0.325	2.32302	2.41323	2.48201	0.115155	0.120314	0.127472
0.35	2.64626	2.74248	2.81578	0.0933418	0.0977128	0.103794
0.375	3.09278	3.17059	3.24936	0.0714515	0.0749755	0.0786402
0.4	3.46413	3.5741	3.6577	0.0558106	0.0586873	0.0627134
0.425	3.9143	4.03114	4.1199	0.0423816	0.0446677	0.0478768
0.45	4.42273	4.51568	4.64111	0.0312148	0.0335856	0.0354632
0.475	4.92961	5.02771	5.12677	0.0235595	0.0249449	0.0264003
0.5	5.36168	5.49828	5.56723	0.0182997	0.0194125	0.0205839
0.525	5.98991	6.09799	6.20704	0.0127243	0.0135336	0.014388
0.55	6.42805	6.54	6.65292	0.00989934	0.0105475	0.0112332
0.575	7.19265	7.31105	7.43041	0.00641306	0.00685319	0.00732026
0.6	7.6315	7.75344	7.87634	0.00512366	0.00536104	0.00573577
0.625	8.16688	8.29301	8.4201	0.00371095	0.0039798	0.00426622
0.65	9.07007	9.20296	9.33682	0.00224594	0.00241624	0.00259827
0.675	9.65292	9.79	9.92805	0.00162779	0.00175463	0.00189051
0.7	10.1603	10.3009	10.4425	0.00123149	0.00132965	0.00143499
0.725	10.9699	11.116	11.2631	0.00079063	0.000855846	0.000926022
0.75	11.5601	11.7603	11.9116	0.000557865	0.000605072	0.000673809
0.775	12.4744	12.6302	12.7869	0.000349047	0.000379563	0.000412558
0.8	13.2096	13.3699	13.5311	0.000234637	0.000255695	0.000278516
0.825	13.9659	14.0756	14.241	0.000160825	0.000175607	0.00019166
0.85	14.5748	14.7431	14.9124	0.000112619	0.000123196	0.000134704
0.875	15.2539	15.4261	15.5993	7.82844e-05	8.57943e-05	9.39815e-05
0.9	16.1246	16.3016	16.4796	4.91765e-05	5.40183e-05	5.93096e-05
0.925	16.7784	17.0194	17.1405	3.47138e-05	3.70002e-05	4.20087e-05
0.95	17.5679	17.6909	17.8763	2.35733e-05	2.59862e-05	2.77233e-05
0.975	18.7543	18.8815	19.073	1.25811e-05	1.39095e-05	1.48684e-05
