Parameter	Lower_CI_stat	Median_CI_stat	Upper_CI_stat	Lower_CI_p	Median_CI_p	Upper_CI_p
0	2.21268	2.30074	2.36791	0.123853	0.129312	0.13688
0.025	2.50515	2.57523	2.64626	0.103794	0.108549	0.113474
0.05	2.76681	2.84042	2.94008	0.0864066	0.0919201	0.096238
0.075	3.19674	3.30241	3.38279	0.0658806	0.0691785	0.0737854
0.1	3.49146	3.60186	3.68578	0.0548782	0.0586873	0.0616861
0.125	3.97251	4.06062	4.17961	0.0409132	0.0438944	0.0462488
0.15	4.30031	4.39197	4.48459	0.0342018	0.0361086	0.0381054
0.175	4.64111	4.76826	4.86474	0.0274109	0.0289892	0.0312148
0.2	5.09364	5.19335	5.29403	0.0213987	0.0226734	0.0240137
0.225	5.7064	5.81191	5.91838	0.0149837	0.015918	0.0169032
0.25	6.09799	6.20704	6.35395	0.011712	0.0127243	0.0135336
0.275	6.72874	6.84327	6.95876	0.00834097	0.0088976	0.00948717
0.3	7.11426	7.23201	7.35073	0.00670355	0.00716149	0.00764731
0.325	7.75344	7.91753	8.04172	0.00457121	0.00489582	0.00536104
0.35	8.16688	8.29301	8.4201	0.00371095	0.0039798	0.00426622
0.375	8.80718	8.93814	9.07007	0.00259827	0.00279276	0.00300047
0.4	9.4266	9.56207	9.69851	0.00184418	0.00198639	0.0021386
0.425	10.0206	10.1603	10.3009	0.00132965	0.00143499	0.00154797
0.45	10.5851	10.7286	10.8731	0.000975728	0.00105494	0.00114006
0.475	11.214	11.3123	11.5104	0.000710837	0.000769937	0.000811838
0.5	11.8106	11.9622	12.1147	0.000500247	0.000542908	0.000588938
0.525	12.4744	12.6302	12.7869	0.000349047	0.000379563	0.000412558
0.55	13.1564	13.3699	13.4773	0.000241469	0.000255695	0.000286537
0.575	13.9111	14.0756	14.1858	0.000165617	0.000175607	0.00019166
0.6	14.5189	14.6869	14.8559	0.000116045	0.000126925	0.00013876
0.625	15.0827	15.2539	15.4261	8.57943e-05	9.39815e-05	0.000102903
0.65	15.89	16.0658	16.2425	5.57303e-05	6.11798e-05	6.71313e-05
0.675	16.6586	16.7784	16.959	3.81963e-05	4.20087e-05	4.47479e-05
0.7	17.323	17.5065	17.6909	2.59862e-05	2.86328e-05	3.15343e-05
0.725	18.1251	18.3127	18.4384	1.7549e-05	1.87452e-05	2.06862e-05
0.75	18.8179	18.9452	19.1371	1.21658e-05	1.34525e-05	1.43813e-05
0.775	19.5237	19.7184	19.8488	8.38155e-06	8.97319e-06	9.93604e-06
0.8	20.2425	20.4408	20.64	5.54249e-06	6.15053e-06	6.8221e-06
0.825	20.9743	21.1761	21.3112	3.90441e-06	4.18953e-06	4.65491e-06
0.85	21.8559	21.9931	22.1998	2.457e-06	2.73629e-06	2.93914e-06
0.875	22.3381	22.5464	22.6858	1.90774e-06	2.05129e-06	2.28624e-06
0.9	23.5311	23.6735	23.8879	1.02109e-06	1.14141e-06	1.22908e-06
0.925	24.2474	24.4644	24.6823	6.76006e-07	7.56956e-07	8.47204e-07
0.95	25.0477	25.2683	25.4158	4.62116e-07	4.98852e-07	5.59284e-07
0.975	25.6379	25.7866	26.0103	3.39599e-07	3.81334e-07	4.11861e-07
