Parameter	Lower_CI	Upper_CI	Median_CI
1	3.89115e-06	5.25347e-06	4.55373e-06
2	3.40827e-05	4.61528e-05	3.98493e-05
3	0.000134877	0.000182144	0.000157823
4	0.00040873	0.000557325	0.000481467
5	0.00138655	0.0048055	0.00264703
6	0.0243205	0.0333289	0.0287987
7	0.0299016	0.0337855	0.0318352
8	0.0304226	0.032516	0.0314463
9	0.0305523	0.0322644	0.0313848
10	0.0306912	0.0327056	0.0316101
11	0.0343174	0.0403764	0.0371346
12	0.0532737	0.0624091	0.0578495
13	0.0608264	0.0672399	0.0640352
14	0.0617086	0.0660031	0.0638293
15	0.0618906	0.0654697	0.0635984
16	0.0625211	0.0665135	0.0643836
17	0.0675554	0.0741719	0.0707342
18	0.0816537	0.0905089	0.0861281
19	0.0913454	0.0987523	0.0949832
20	0.0932392	0.0991699	0.0961889
21	0.0937574	0.0987835	0.0962556
22	0.0947917	0.100114	0.0973675
23	0.0994517	0.106431	0.102844
24	0.110813	0.119685	0.115185
25	0.120894	0.129013	0.124947
26	0.124518	0.131386	0.127984
27	0.125655	0.131779	0.128671
28	0.126988	0.133153	0.129996
29	0.130961	0.138175	0.134451
30	0.140053	0.148817	0.144365
31	0.150584	0.159255	0.154856
32	0.155725	0.163426	0.159572
33	0.156995	0.164007	0.160446
34	0.158956	0.165644	0.162225
35	0.162021	0.169552	0.165752
36	0.16949	0.178317	0.173824
37	0.179442	0.188683	0.184089
38	0.185304	0.193836	0.189539
39	0.188393	0.196072	0.192238
40	0.189971	0.197433	0.19365
41	0.19257	0.200266	0.196453
42	0.199362	0.208339	0.203776
43	0.208482	0.217838	0.213014
44	0.215873	0.224954	0.220302
45	0.21887	0.227181	0.223012
46	0.221168	0.229118	0.225141
47	0.224309	0.232476	0.22836
48	0.229114	0.23823	0.233625
49	0.237426	0.247447	0.24245
50	0.244897	0.2544	0.249688
51	0.24997	0.258945	0.254424
52	0.252466	0.261191	0.256819
53	0.254832	0.263697	0.259257
54	0.259668	0.268991	0.264192
55	0.266563	0.276522	0.271567
56	0.274377	0.284476	0.279435
57	0.279815	0.289554	0.284637
58	0.282948	0.292456	0.287652
59	0.285988	0.295183	0.290621
60	0.289028	0.298701	0.293922
61	0.295911	0.306415	0.301188
62	0.303571	0.313873	0.308726
63	0.310109	0.32035	0.315161
64	0.313121	0.323108	0.318012
65	0.316183	0.32584	0.320934
66	0.319499	0.329675	0.324555
67	0.325587	0.336034	0.330752
68	0.332749	0.343702	0.338212
69	0.339906	0.350488	0.345312
70	0.343812	0.354558	0.349176
71	0.347344	0.357699	0.352572
72	0.35024	0.360705	0.355421
73	0.355316	0.366466	0.360917
74	0.362287	0.373778	0.368
75	0.368721	0.380111	0.374371
76	0.37392	0.385109	0.379412
77	0.377371	0.388429	0.382942
78	0.380418	0.391625	0.386011
79	0.384975	0.396479	0.390693
80	0.391754	0.403707	0.39775
81	0.398255	0.410248	0.404281
82	0.404023	0.415945	0.409951
83	0.407906	0.419626	0.413731
84	0.410731	0.422323	0.416399
85	0.414957	0.426583	0.420787
86	0.421023	0.433032	0.427036
87	0.427627	0.440152	0.433882
88	0.433477	0.445698	0.439654
89	0.438045	0.450248	0.44415
90	0.441464	0.453854	0.447732
91	0.44491	0.457198	0.45117
92	0.449812	0.462587	0.456217
