Parameter	Lower_CI	Upper_CI	Median_CI
0.0555556	0.0123055	0.0179032	0.0150051
0.111111	0.0090963	0.0141566	0.0114803
0.166667	0.00646363	0.0107383	0.00837959
0.222222	0.00486365	0.00834289	0.00643591
0.277778	0.00353076	0.00601465	0.00461451
0.333333	0.00279024	0.00478719	0.00358737
0.388889	0.00231762	0.00380484	0.0029051
0.444444	0.00193353	0.00313013	0.00238351
0.5	0.0017261	0.00269208	0.00210034
0.555556	0.00154944	0.00224355	0.0018517
0.611111	0.00139365	0.00198564	0.00165948
0.666667	0.00127154	0.00185358	0.00151553
0.722222	0.00117829	0.00166036	0.00140174
0.777778	0.00111179	0.00155405	0.00132203
0.833333	0.00101502	0.00141638	0.00120909
0.888889	0.000980065	0.00136155	0.00116192
0.944444	0.000932997	0.00128726	0.00110124
1	0.000886886	0.00123064	0.00105017
1.05556	0.00085458	0.0011834	0.00101146
1.11111	0.000820252	0.00112216	0.000963228
1.16667	0.000791811	0.0010935	0.000935543
1.22222	0.000758215	0.00104151	0.000895041
1.27778	0.000739523	0.00101212	0.000871401
1.33333	0.000723693	0.000992536	0.000850711
1.38889	0.00070006	0.000959684	0.000824085
1.44444	0.000674518	0.000923067	0.000795453
1.5	0.000667831	0.000918126	0.000785797
1.55556	0.000645342	0.000882862	0.000760517
1.61111	0.000632882	0.000868779	0.000745109
1.66667	0.00062382	0.000849761	0.000731199
1.72222	0.000618473	0.000846198	0.000731384
1.77778	0.000602749	0.00081745	0.000706639
1.83333	0.000595108	0.000815504	0.000701805
1.88889	0.000587174	0.000802325	0.000689533
1.94444	0.000574598	0.000785212	0.000674689
2	0.000568112	0.000777452	0.000669688
2.05556	0.000566578	0.000768806	0.000664291
2.11111	0.000552504	0.000757662	0.000652112
2.16667	0.000559694	0.000761529	0.000656717
2.22222	0.000549579	0.000743923	0.000643008
2.27778	0.000548094	0.000742008	0.000639743
2.33333	0.00053492	0.000724929	0.000626194
2.38889	0.000536364	0.000735291	0.000630937
2.44444	0.000526583	0.000718423	0.000619187
2.5	0.000515501	0.000701729	0.000606212
2.55556	0.000516789	0.000698897	0.000602762
2.61111	0.000519698	0.000698587	0.000605324
2.66667	0.00051045	0.000694933	0.000601043
2.72222	0.000499003	0.000677379	0.000585492
2.77778	0.000499715	0.000677882	0.000585854
2.83333	0.000489143	0.000668025	0.000575766
2.88889	0.000495583	0.000674143	0.000579203
2.94444	0.000495773	0.000669952	0.000579429
3	0.000490334	0.000660102	0.000571219
