Parameter	Lower_CI	Upper_CI	Median_CI
0.00222222	2.39802e-05	7.58874e-05	4.74452e-05
0.00444444	5.97568e-05	0.000131211	9.20323e-05
0.00666667	9.85966e-05	0.000187039	0.000140439
0.00888889	0.000137805	0.000244836	0.000187259
0.0111111	0.000174561	0.000290933	0.000228983
0.0133333	0.00021768	0.000343688	0.000277678
0.0155556	0.000254795	0.000392555	0.00032115
0.0177778	0.000285721	0.00043061	0.000355427
0.02	0.000335526	0.000495058	0.000410852
0.0222222	0.00036762	0.000531643	0.000447165
0.0244444	0.000398521	0.000570175	0.000482297
0.0266667	0.000452322	0.000633932	0.000539766
0.0288889	0.000488459	0.000678396	0.000578499
0.0311111	0.00053453	0.00072836	0.000628092
0.0333333	0.000567476	0.000767471	0.00066522
0.0355556	0.000608233	0.000817125	0.000709799
0.0377778	0.000649905	0.000867816	0.000755474
0.04	0.000694223	0.000917185	0.00080228
0.0422222	0.000730414	0.000960362	0.000843405
0.0444444	0.000773112	0.00100887	0.000890195
0.0466667	0.000814425	0.00106004	0.000934416
0.0488889	0.000853408	0.0011034	0.000973432
0.0511111	0.000893511	0.00115068	0.00101905
0.0533333	0.00094443	0.00119854	0.00107009
0.0555556	0.000981863	0.00125237	0.00111595
0.0577778	0.00101964	0.0012894	0.00115151
0.06	0.00106342	0.00133705	0.00119848
0.0622222	0.00110466	0.0013864	0.00124086
0.0644444	0.00115083	0.0014316	0.0012872
0.0666667	0.00119807	0.00148286	0.00133823
0.0688889	0.00123094	0.00152894	0.00137725
0.0711111	0.0012635	0.0015634	0.00141139
0.0733333	0.00130716	0.00161016	0.00145846
0.0755556	0.00136844	0.00167814	0.00152031
0.0777778	0.00140437	0.00171401	0.00155801
0.08	0.00142974	0.00175639	0.00159272
0.0822222	0.00148014	0.00179148	0.00163218
0.0844444	0.00151637	0.00183645	0.00167348
0.0866667	0.00156524	0.00189929	0.00173076
0.0888889	0.00161884	0.00195016	0.0017793
0.0911111	0.00164855	0.0019918	0.00182041
0.0933333	0.0016789	0.00202621	0.00184448
0.0955556	0.00173161	0.00208765	0.00190874
0.0977778	0.0017752	0.00212584	0.00194689
0.1	0.00181445	0.00217241	0.0019899
0.102222	0.00184349	0.0022038	0.00201821
0.104444	0.00190111	0.00226078	0.00207928
0.106667	0.00194512	0.00230928	0.00212336
0.108889	0.00198851	0.00235745	0.00216586
0.111111	0.00201309	0.00238968	0.00219896
0.113333	0.00206963	0.00246148	0.00226014
0.115556	0.00211324	0.00249514	0.00230005
0.117778	0.00216196	0.00255219	0.002352
0.12	0.00219301	0.00258105	0.00238164
0.122222	0.00224122	0.00262561	0.00242992
0.124444	0.00226627	0.00266426	0.00246247
0.126667	0.00232853	0.00273043	0.00252162
0.128889	0.00235212	0.00274941	0.00254638
0.131111	0.00239313	0.00280018	0.00259281
0.133333	0.0024646	0.00287677	0.0026694
0.135556	0.00249883	0.00291365	0.00270076
0.137778	0.00254702	0.00295939	0.0027474
0.14	0.00258999	0.00301581	0.00279884
0.142222	0.00263027	0.00305077	0.00283931
0.144444	0.00267219	0.00310958	0.00288528
0.146667	0.00268997	0.00312395	0.00290381
0.148889	0.00273369	0.00317464	0.00294822
0.151111	0.00278406	0.00321921	0.0029956
0.153333	0.00281601	0.00326321	0.00303693
