Parameter	Lower_CI	Upper_CI	Median_CI
0.00263889	0.0274216	0.0348604	0.031164
0.00527778	0.0265793	0.0341118	0.0303575
0.00791667	0.0258458	0.0332924	0.0295448
0.0105556	0.0258655	0.0333585	0.0295751
0.0131944	0.0251865	0.0325849	0.0288223
0.0158333	0.0245618	0.0318594	0.0281818
0.0184722	0.0243002	0.0316879	0.0279793
0.0211111	0.0238545	0.0311271	0.0274893
0.02375	0.0231586	0.0304587	0.0267318
0.0263889	0.0229477	0.0302033	0.0265415
0.0290278	0.0226932	0.0299125	0.0262088
0.0316667	0.0220998	0.0291326	0.0255521
0.0343056	0.0216405	0.0287038	0.0251204
0.0369444	0.0214264	0.0285197	0.024919
0.0395833	0.0208735	0.0277026	0.0242549
0.0422222	0.0205609	0.027443	0.0239237
0.0448611	0.0199963	0.0269682	0.0233321
0.0475	0.0197393	0.026452	0.0230857
0.0501389	0.0193379	0.0259473	0.022528
0.0527778	0.0191539	0.0257599	0.0223504
0.0554167	0.0186303	0.0250026	0.021745
0.0580556	0.0186781	0.0250557	0.0217406
0.0606944	0.0183291	0.0247988	0.0214648
0.0633333	0.0177161	0.0238594	0.0207033
0.0659722	0.0175489	0.0237379	0.020553
0.0686111	0.0171072	0.0230771	0.0199634
0.07125	0.0166271	0.0225111	0.0195033
0.0738889	0.0166787	0.0225301	0.0194625
0.0765278	0.0161976	0.0219537	0.0188998
0.0791667	0.016019	0.0215363	0.0186337
0.0818056	0.0156754	0.0211252	0.0183285
0.0844444	0.0154034	0.0206437	0.017881
0.0870833	0.0154598	0.0207939	0.0179702
0.0897222	0.0151302	0.0202934	0.0175079
0.0923611	0.0150605	0.0202708	0.0175185
0.095	0.0145108	0.0193643	0.0168074
0.0976389	0.0146406	0.01942	0.0169129
0.100278	0.0143526	0.0190301	0.0165706
0.102917	0.0142613	0.0189691	0.0164427
0.105556	0.014134	0.0187519	0.0162747
0.108194	0.0138295	0.0182591	0.015863
0.110833	0.0137158	0.0178394	0.0156243
0.113472	0.0135273	0.0176668	0.0154714
0.116111	0.0133627	0.0173954	0.0152541
0.11875	0.0132461	0.0172011	0.0150682
0.121389	0.0130765	0.0169369	0.0148566
0.124028	0.0130599	0.0169081	0.0147901
0.126667	0.0129866	0.0166622	0.0147078
0.129306	0.0128762	0.0164537	0.0145276
0.131944	0.0126337	0.01597	0.0141593
0.134583	0.0126087	0.0159917	0.0141779
0.137222	0.0125678	0.0159331	0.0141252
0.139861	0.0125523	0.0157976	0.0140373
0.1425	0.0123068	0.0154362	0.0137436
0.145139	0.0123183	0.0153326	0.0136979
0.147778	0.0122164	0.0152537	0.01363
0.150417	0.0121393	0.0150703	0.0134798
0.153056	0.0120306	0.0148082	0.0133091
0.155694	0.0120578	0.0148077	0.0132802
0.158333	0.0119238	0.0145513	0.0131289
0.160972	0.0119079	0.0145531	0.0131007
0.163611	0.0118819	0.0144533	0.01306
0.16625	0.011801	0.0142402	0.0129085
0.168889	0.0117602	0.0142036	0.0128664
0.171528	0.0115963	0.0139162	0.0126602
0.174167	0.011714	0.014052	0.0127677
0.176806	0.0115706	0.0138712	0.0126364
0.179444	0.0115569	0.0136811	0.0125458
0.182083	0.011442	0.0135717	0.012434
0.184722	0.0113933	0.0135012	0.0123505
0.187361	0.0113874	0.0134342	0.0123426
0.19	0.011314	0.0132786	0.0122423
0.192639	0.0112056	0.0131476	0.0121265
0.195278	0.0111482	0.0131686	0.0120657
0.197917	0.0111329	0.0130198	0.0120145
0.200556	0.0110463	0.0129276	0.011912
0.203194	0.0110666	0.0128971	0.0119265
0.205833	0.01105	0.0127927	0.0118899
0.208472	0.0110493	0.0127373	0.0118468
0.211111	0.0109507	0.0127223	0.0117673
0.21375	0.0109379	0.012586	0.0117252
0.216389	0.0109158	0.0126231	0.0117122
0.219028	0.0108583	0.0125242	0.0116177
0.221667	0.0107127	0.0123167	0.0114668
0.224306	0.0107096	0.0122962	0.0114684
0.226944	0.0106401	0.0121342	0.0113644
0.229583	0.0107014	0.0122367	0.0114263
0.232222	0.010627	0.0121009	0.0113281
0.234861	0.010539	0.0120079	0.0112537
0.2375	0.0105232	0.0119649	0.0112133
0.240139	0.0104878	0.0119269	0.0111866
0.242778	0.010461	0.0118568	0.0111349
0.245417	0.0103947	0.0118455	0.0110856
0.248056	0.0102949	0.0116585	0.0109548
0.250694	0.0102427	0.0116082	0.0109216
0.253333	0.0102169	0.0115799	0.0108747
0.255972	0.0101849	0.0115056	0.0108394
0.258611	0.0101552	0.011463	0.0107799
0.26125	0.0101792	0.0114771	0.0108252
0.263889	0.0100286	0.0113396	0.0106745
0.266528	0.0100084	0.0112743	0.0106303
0.269167	0.00992605	0.0112188	0.0105575
0.271806	0.00991309	0.0111784	0.010533
0.274444	0.00998208	0.0112734	0.0106088
0.277083	0.00983766	0.0110879	0.0104373
0.279722	0.00980683	0.011036	0.0104031
0.282361	0.00973408	0.0109554	0.0103379
0.285	0.00973437	0.0109039	0.0102991
0.287639	0.00963933	0.0108081	0.0102085
0.290278	0.00967406	0.0108537	0.010248
0.292917	0.00964696	0.0108134	0.0102116
0.295556	0.00957513	0.0107284	0.0101359
0.298194	0.00947604	0.0106423	0.0100441
0.300833	0.00948077	0.0106257	0.0100396
0.303472	0.00936762	0.0104947	0.00991921
0.306111	0.00935822	0.0104956	0.00991268
0.30875	0.00934416	0.0104579	0.00989184
0.311389	0.00924152	0.0103419	0.00977949
0.314028	0.00922587	0.0103327	0.00976697
0.316667	0.00917633	0.0102701	0.00969792
0.319306	0.00909536	0.0101787	0.00963888
0.321944	0.00903362	0.0101086	0.00955284
0.324583	0.00902403	0.0100902	0.00954204
0.327222	0.00901039	0.0100825	0.00953196
0.329861	0.00895033	0.0100007	0.00946704
0.3325	0.0089008	0.00994007	0.00941295
0.335139	0.00885801	0.00990644	0.00937505
0.337778	0.00878582	0.00981844	0.00929422
0.340417	0.0087264	0.00973732	0.00921523
0.343056	0.00866336	0.00968507	0.00916392
0.345694	0.00866055	0.0096782	0.00916225
0.348333	0.00861197	0.00958659	0.00909637
0.350972	0.00852305	0.00954123	0.00902199
0.353611	0.00851658	0.00951296	0.00900197
0.35625	0.00849046	0.00946673	0.00898038
0.358889	0.00844566	0.00943807	0.00893812
0.361528	0.00838832	0.0093562	0.008869
0.364167	0.00843246	0.00940883	0.00891118
0.366806	0.0082454	0.00919491	0.0087077
0.369444	0.00829523	0.0092339	0.00875766
0.372083	0.00820267	0.00914894	0.00866151
0.374722	0.00816665	0.00910474	0.0086271
0.377361	0.00810683	0.00902629	0.00855272
